"North_cor","East_cor","WaterSE","Code","Point","VertPrec"
1841965.046,6057046.963,7.832,"echo","1044",0.03119
1841966.444,6057045.065,7.93,"echo","1045",0.03167
1841968.885,6057038.6,7.801,"echo","1048",0.03192
1841970.024,6057036.651,7.856,"echo","1049",0.0322
1841970.524,6057034.625,7.851,"echo","1050",0.03207
1841971.129,6057032.768,7.831,"echo","1051",0.03214
1841973.393,6057028.678,7.848,"echo","1053",0.03293
1841973.656,6057026.694,7.865,"echo","1054",0.03255
1841974.13,6057024.835,7.909,"echo","1055",0.03136
1841974.851,6057022.492,7.776,"echo","1056",0.03182
1841975.554,6057020.555,7.82,"echo","1057",0.0328
1841975.498,6057018.66,7.835,"echo","1058",0.03193
1841975.746,6057016.737,7.866,"echo","1059",0.03293
1841976.253,6057014.495,7.993,"echo","1060",0.03359
1841976.135,6057012.494,7.956,"echo","1061",0.03429
1841975.64,6057010.853,8.081,"echo","1062",0.03828
1841975.324,6057006.298,8.057,"echo","1064",0.04457
1841974.497,6057004.497,7.958,"echo","1065",0.05764
1841973.986,6057002.599,8.032,"echo","1066",0.04579
1841956.649,6056955.624,7.814,"echo","1075",0.06611
1841956.196,6056953.823,7.754,"echo","1076",0.06251
1841956.454,6056951.769,7.766,"echo","1077",0.06448
1841956.108,6056949.886,7.771,"echo","1078",0.06584
1841955.309,6056948.179,7.759,"echo","1079",0.06434
1841955.293,6056945.876,7.735,"echo","1080",0.06451
1841955.522,6056943.713,7.758,"echo","1081",0.0569
1841954.982,6056941.63,7.742,"echo","1082",0.05594
1841954.691,6056939.64,7.742,"echo","1083",0.05392
1841955.05,6056937.124,7.764,"echo","1084",0.05371
1841955.222,6056934.985,7.811,"echo","1085",0.05206
1841954.787,6056932.925,7.736,"echo","1086",0.05316
1841955.034,6056930.608,7.717,"echo","1087",0.05449
1841955.772,6056928.347,7.793,"echo","1088",0.05398
1841955.906,6056926.145,7.78,"echo","1089",0.05523
1841955.934,6056924.101,7.748,"echo","1090",0.05599
1841957.002,6056921.652,7.767,"echo","1091",0.05537
1841957.984,6056919.637,7.809,"echo","1092",0.05551
1841958.249,6056917.344,7.755,"echo","1093",0.05678
1841959.067,6056915.227,7.752,"echo","1094",0.05764
1841960.542,6056913.073,7.785,"echo","1095",0.05822
1841961.65,6056910.99,7.819,"echo","1096",0.05173
1841962.34,6056908.771,7.781,"echo","1097",0.03049
1841963.78,6056906.643,7.758,"echo","1098",0.03047
1841965.407,6056904.855,7.811,"echo","1099",0.03046
1841966.638,6056902.815,7.838,"echo","1100",0.03046
1841971.088,6056897.366,7.836,"echo","1103",0.03045
1841972.082,6056895.209,7.786,"echo","1104",0.03044
1841973.234,6056893.39,7.778,"echo","1105",0.03043
1841974.913,6056891.632,7.79,"echo","1106",0.03043
1841976.313,6056890.06,7.787,"echo","1107",0.03042
1841977.329,6056888.705,7.8,"echo","1108",0.03042
1841978.569,6056887.393,7.806,"echo","1109",0.03041
1841979.419,6056885.798,7.799,"echo","1110",0.03041
1841980.477,6056884.106,7.771,"echo","1111",0.0304
1841982.035,6056882.413,7.818,"echo","1112",0.03039
1841983.536,6056880.721,7.773,"echo","1113",0.03039
1841985.51,6056879.197,7.787,"echo","1114",0.03059
1841987.139,6056877.649,7.834,"echo","1115",0.0305
1841988.326,6056875.838,7.801,"echo","1116",0.03051
