"Point","North_cor","East_cor","BedSE","WaterSE","Depth_cor","Code","VertPrec"
"4199",1842228.76,6057284.116,12.866,7.793,4.423,"echo",0.03004
"4200",1842230.526,6057285.758,13.014,7.777,4.587,"echo",0.03002
"4201",1842232.098,6057287.364,13.008,7.771,4.587,"echo",0.02999
"4202",1842233.456,6057289.489,12.938,7.767,4.521,"echo",0.02997
"4203",1842234.991,6057291.22,12.96,7.821,4.489,"echo",0.02994
"4204",1842236.635,6057292.697,12.761,7.721,4.39,"echo",0.02991
"4205",1842238.128,6057294.704,12.807,7.734,4.423,"echo",0.02992
"4206",1842239.359,6057296.659,12.834,7.794,4.39,"echo",0.02995
"4207",1842240.994,6057298.337,12.867,7.794,4.423,"echo",0.03019
"4208",1842242.441,6057300.016,12.881,7.808,4.423,"echo",0.02992
"4209",1842243.726,6057302.414,12.928,7.757,4.521,"echo",0.0299
"4210",1842245.029,6057304.408,13.049,7.812,4.587,"echo",0.02989
"4211",1842246.727,6057306.097,12.813,7.74,4.423,"echo",0.0299
"4212",1842248.084,6057308.116,12.786,7.746,4.39,"echo",0.0299
"4213",1842249.207,6057310.295,12.811,7.738,4.423,"echo",0.02991
"4214",1842250.674,6057312.16,12.916,7.777,4.489,"echo",0.02987
"4215",1842252.063,6057313.8,12.653,7.777,4.226,"echo",0.0301
"4216",1842253.231,6057316.127,12.722,7.78,4.292,"echo",0.02984
"4217",1842254.194,6057318.208,12.723,7.781,4.292,"echo",0.02983
"4218",1842255.482,6057320.17,12.827,7.787,4.39,"echo",0.02978
"4219",1842256.661,6057321.947,12.756,7.781,4.325,"echo",0.02978
"4220",1842257.61,6057324.219,12.482,7.737,4.095,"echo",0.02978
"4221",1842258.546,6057326.198,12.625,7.782,4.193,"echo",0.02976
"4222",1842259.916,6057327.974,12.417,7.738,4.029,"echo",0.03271
"4223",1842260.916,6057330.012,12.325,7.744,3.931,"echo",0.02973
"4224",1842261.568,6057332.42,12.377,7.796,3.931,"echo",0.02972
"4225",1842262.51,6057334.545,12.279,7.797,3.832,"echo",0.02969
"4226",1842263.651,6057336.461,11.853,7.797,3.406,"echo",0.02969
"4227",1842264.469,6057338.723,11.611,7.719,3.242,"echo",0.02974
"4228",1842265.029,6057340.828,11.946,7.792,3.504,"echo",0.02992
"4229",1842266.237,6057342.83,12.261,7.779,3.832,"echo",0.02972
"4230",1842267.148,6057344.781,12.217,7.767,3.8,"echo",0.0297
"4231",1842267.71,6057347.285,12.151,7.767,3.734,"echo",0.02971
"4232",1842268.418,6057349.432,12.305,7.823,3.832,"echo",0.0297
"4233",1842269.545,6057351.379,12.192,7.742,3.8,"echo",0.02969
"4234",1842270.228,6057353.665,12.201,7.751,3.8,"echo",0.02968
"4235",1842270.602,6057356.019,12.337,7.789,3.898,"echo",0.02965
"4236",1842271.336,6057358.197,12.177,7.793,3.734,"echo",0.02966
"4237",1842272.118,6057360.201,12.114,7.73,3.734,"echo",0.02963
"4238",1842272.468,6057362.674,12.282,7.734,3.898,"echo",0.02966
"4239",1842272.684,6057364.795,12.303,7.821,3.832,"echo",0.02968
"4240",1842273.504,6057367.001,12.194,7.744,3.8,"echo",0.02965
"4241",1842274.014,6057369.126,12.209,7.759,3.8,"echo",0.02967
"4242",1842274.136,6057371.551,12.291,7.809,3.832,"echo",0.0299
"4243",1842274.556,6057373.783,12.175,7.824,3.701,"echo",0.02965
"4244",1842275.37,6057375.902,12.155,7.771,3.734,"echo",0.02966
"4245",1842275.648,6057378.258,12.117,7.733,3.734,"echo",0.02969
"4246",1842275.702,6057380.643,12.155,7.804,3.701,"echo",0.02966
"4247",1842276.182,6057382.97,12.299,7.817,3.832,"echo",0.02964
"4248",1842276.693,6057385.098,12.168,7.784,3.734,"echo",0.02966
"4249",1842276.675,6057387.7,12.11,7.759,3.701,"echo",0.02963
"4250",1842276.653,6057389.98,12.179,7.828,3.701,"echo",0.0296
"4251",1842277.337,6057392.336,12.005,7.719,3.636,"echo",0.02958
"4252",1842277.615,6057394.627,12.081,7.795,3.636,"echo",0.02956
"4253",1842277.57,6057397.156,12.179,7.795,3.734,"echo",0.02956
"4254",1842277.87,6057399.462,12.222,7.838,3.734,"echo",0.02955
"4255",1842278.521,6057401.649,12.016,7.73,3.636,"echo",0.02952
"4256",1842278.72,6057404.061,12.036,7.75,3.636,"echo",0.02954
"4257",1842278.655,6057406.505,12.145,7.794,3.701,"echo",0.02951
"4258",1842278.979,6057408.833,12.05,7.797,3.603,"echo",0.0295
"4259",1842279.605,6057410.992,11.917,7.763,3.504,"echo",0.02948
"4260",1842279.759,6057413.449,11.895,7.741,3.504,"echo",0.02949
"4261",1842279.71,6057415.84,12.06,7.807,3.603,"echo",0.02975
"4262",1842280.082,6057418.129,12.007,7.82,3.537,"echo",0.02954
"4263",1842280.62,6057420.217,11.886,7.797,3.439,"echo",0.02953
"4264",1842280.605,6057422.707,11.753,7.763,3.34,"echo",0.02954
"4265",1842280.369,6057425.002,11.779,7.789,3.34,"echo",0.02954
"4266",1842280.677,6057427.252,11.912,7.823,3.439,"echo",0.02951
"4267",1842281.207,6057429.359,11.854,7.798,3.406,"echo",0.02949
"4268",1842281.831,6057431.035,11.861,7.805,3.406,"echo",0.0295
"4269",1842282.71,6057432.505,11.816,7.826,3.34,"echo",0.02949
"4270",1842283.634,6057433.608,11.887,7.831,3.406,"echo",0.02947
"4271",1842284.845,6057434.295,11.736,7.779,3.307,"echo",0.02945
"4272",1842285.785,6057434.816,11.781,7.791,3.34,"echo",0.02947
"4273",1842286.798,6057434.745,11.876,7.787,3.439,"echo",0.02945
"4274",1842287.539,6057434.806,12.086,7.833,3.603,"echo",0.02949
"4275",1842288.111,6057434.255,11.984,7.797,3.537,"echo",0.02947
"4276",1842288.346,6057433.903,12.117,7.831,3.636,"echo",0.02945
"4277",1842288.286,6057433.217,12.059,7.806,3.603,"echo",0.02944
"4278",1842288.212,6057432.877,12.148,7.862,3.636,"echo",0.02947
"4279",1842287.98,6057432.509,12.142,7.856,3.636,"echo",0.02949
"4280",1842288.079,6057430.792,12.009,7.723,3.636,"echo",0.02975
"4281",1842288.499,6057429.094,12.204,7.853,3.701,"echo",0.02957
"4282",1842287.628,6057427.567,12.022,7.736,3.636,"echo",0.02964
"4283",1842287.128,6057425.909,12.07,7.784,3.636,"echo",0.02956
"4284",1842286.909,6057423.679,11.903,7.749,3.504,"echo",0.02958
"4285",1842286.516,6057421.778,12.051,7.798,3.603,"echo",0.02959
"4286",1842285.807,6057420.048,11.972,7.785,3.537,"echo",0.02958
"4287",1842285.475,6057417.944,12.064,7.811,3.603,"echo",0.02962
"4288",1842285.532,6057415.687,11.952,7.765,3.537,"echo",0.0296
"4289",1842285.152,6057413.611,12.037,7.784,3.603,"echo",0.02964
"4290",1842284.635,6057411.725,11.935,7.748,3.537,"echo",0.02962
"4291",1842284.621,6057409.53,12.054,7.768,3.636,"echo",0.0296
"4292",1842284.465,6057407.673,11.755,7.798,3.307,"echo",0.03003
"4293",1842283.9,6057405.884,11.632,7.74,3.242,"echo",0.02961
"4294",1842283.908,6057403.747,11.231,7.733,2.848,"echo",0.02961
"4295",1842284.223,6057401.64,11.287,7.789,2.848,"echo",0.0296
"4296",1842284.03,6057399.615,12.186,7.835,3.701,"echo",0.02964
"4297",1842283.682,6057397.785,12.129,7.778,3.701,"echo",0.0298
"4298",1842283.969,6057395.591,12.044,7.758,3.636,"echo",0.0296
"4299",1842284.037,6057393.649,12.192,7.808,3.734,"echo",0.0296
"4300",1842283.557,6057391.713,12.079,7.793,3.636,"echo",0.0298
"4301",1842283.474,6057389.718,12.105,7.754,3.701,"echo",0.02957
"4302",1842283.728,6057387.597,12.193,7.809,3.734,"echo",0.0296
"4303",1842283.428,6057385.615,12.171,7.787,3.734,"echo",0.02962
"4304",1842283.02,6057383.813,12.126,7.775,3.701,"echo",0.02971
"4305",1842283.127,6057381.529,12.037,7.784,3.603,"echo",0.02978
"4306",1842283.014,6057379.532,12.335,7.787,3.898,"echo",0.0297
"4307",1842282.301,6057377.658,12.115,7.764,3.701,"echo",0.02967
"4308",1842281.958,6057375.615,12.125,7.774,3.701,"echo",0.03009
"4309",1842281.984,6057373.383,12.074,7.788,3.636,"echo",0.03007
"4310",1842281.479,6057371.368,12.249,7.799,3.8,"echo",0.03289
"4311",1842280.756,6057369.664,12.204,7.754,3.8,"echo",0.02993
"4312",1842280.581,6057367.358,12.11,7.759,3.701,"echo",0.02972
"4313",1842280.441,6057365.344,12.228,7.778,3.8,"echo",0.02971
"4314",1842279.682,6057363.44,12.098,7.747,3.701,"echo",0.0297
"4315",1842279.256,6057361.632,12.341,7.793,3.898,"echo",0.02968
"4316",1842279.157,6057359.458,12.296,7.814,3.832,"echo",0.02967
"4317",1842278.635,6057357.619,12.276,7.794,3.832,"echo",0.02965
"4318",1842277.814,6057355.952,12.244,7.762,3.832,"echo",0.02969
"4319",1842277.369,6057353.916,12.222,7.74,3.832,"echo",0.02967
"4320",1842277.262,6057351.844,12.365,7.784,3.931,"echo",0.02967
"4321",1842276.661,6057349.92,12.263,7.813,3.8,"echo",0.02964
"4322",1842275.898,6057348.23,12.123,7.772,3.701,"echo",0.02961
"4323",1842275.597,6057346.074,12.354,7.773,3.931,"echo",0.02958
"4324",1842275.253,6057344.204,12.45,7.804,3.996,"echo",0.02959
"4325",1842274.369,6057342.457,12.347,7.766,3.931,"echo",0.02957
"4326",1842273.832,6057340.608,12.374,7.793,3.931,"echo",0.02955
"4327",1842273.484,6057338.499,12.507,7.762,4.095,"echo",0.02954
"4328",1842272.734,6057336.656,12.365,7.784,3.931,"echo",0.02951
"4329",1842271.83,6057335.068,12.4,7.754,3.996,"echo",0.02948
"4330",1842271.237,6057332.856,12.433,7.754,4.029,"echo",0.02945
"4331",1842270.862,6057330.852,12.457,7.811,3.996,"echo",0.02942
"4332",1842269.882,6057329.065,12.34,7.759,3.931,"echo",0.02941
"4333",1842269.252,6057327.243,12.47,7.824,3.996,"echo",0.02967
"4334",1842268.738,6057325.164,12.309,7.761,3.898,"echo",0.0297
"4335",1842267.843,6057323.399,12.298,7.75,3.898,"echo",0.02949
"4336",1842266.855,6057321.933,12.431,7.752,4.029,"echo",0.02947
"4337",1842266.194,6057319.76,12.516,7.738,4.128,"echo",0.02947
"4338",1842265.674,6057317.832,12.619,7.776,4.193,"echo",0.02988
"4339",1842264.559,6057316.108,12.654,7.778,4.226,"echo",0.02989
