"Point","North_cor","East_cor","BedSE","WaterSE","Depth_cor","Code","VertPrec"
"3",1841898.397,6057078.927,26.095,NA,NA,"topo",NA
"4",1841904.076,6057074.206,25.855,NA,NA,"cp01",NA
"5",1841940.532,6057119.087,11.598,NA,NA,"topo",NA
"6",1841934.335,6057105.775,10.897,NA,NA,"topo",NA
"7",1842101.88,6057086.985,9.703,NA,NA,"topo",NA
"9",1842096.977,6057079.206,11.018,NA,NA,"topo",NA
"10",1842100.717,6057068.598,14.714,NA,NA,"levee",NA
"11",1842090.684,6057050.518,14.699,NA,NA,"levee",NA
"12",1842079.394,6057032.15,14.826,NA,NA,"levee",NA
"13",1842067.632,6057004.33,15.343,NA,NA,"levee",NA
"14",1842052.466,6057013.996,9.613,NA,NA,"topo",NA
"16",1842037.088,6057013.785,6.29,NA,NA,"topo",NA
"17",1842032.442,6057012.563,5.662,NA,NA,"topo",NA
"18",1842036.844,6057025.236,5.998,NA,NA,"topo",NA
"20",1842034.206,6056996.23,10.541,NA,NA,"topo",NA
"21",1842020.131,6056984.433,9.855,NA,NA,"topo",NA
"22",1842016.329,6056987.284,6.524,NA,NA,"topo",NA
"24",1842011.757,6056973.341,10.374,NA,NA,"topo",NA
"25",1842006.01,6056978.53,7.104,NA,NA,"topo",NA
"26",1841984.472,6056943.145,8.214,NA,NA,"topo",NA
"28",1841993.239,6056933.002,11.038,NA,NA,"topo",NA
"29",1841979.121,6056921.107,7.865,NA,NA,"topo",NA
"30",1841969.917,6056917.807,6.653,NA,NA,"topo",NA
"31",1841963.445,6056913.579,6.1,NA,NA,"topo",NA
"32",1841971.56,6056902.761,6.168,NA,NA,"topo",NA
"33",1841986.076,6056897.438,7.053,NA,NA,"topo",NA
"35",1841980.829,6056893.88,5.724,NA,NA,"topo",NA
"36",1841973.057,6056891.99,6.45,NA,NA,"topo",NA
"37",1841961.391,6056888.651,8.343,NA,NA,"topo",NA
"38",1841957.53,6056899.032,7.384,NA,NA,"topo",NA
"39",1841942.325,6056898.559,8.453,NA,NA,"topo",NA
"40",1841938.949,6056913.003,7.714,NA,NA,"topo",NA
"41",1841944.126,6056934.092,6.405,NA,NA,"topo",NA
"42",1841929.568,6056931.01,6.616,NA,NA,"topo",NA
"43",1841914.263,6056918.606,8.237,NA,NA,"topo",NA
"44",1841912.194,6056930.575,7.298,NA,NA,"topo",NA
"45",1841913.556,6056938.879,5.724,NA,NA,"topo",NA
"46",1841898.529,6056931.435,7.344,NA,NA,"topo",NA
"47",1841892.56,6056916.357,8.588,NA,NA,"topo",NA
"48",1841877.811,6056922.118,7.633,NA,NA,"topo",NA
"49",1841869.259,6056915.773,8.569,NA,NA,"topo",NA
"50",1841871.026,6056923.271,6.117,NA,NA,"topo",NA
"51",1841864.941,6056925.664,6.445,NA,NA,"topo",NA
"52",1841861.631,6056935.86,8.192,NA,NA,"topo",NA
"53",1841866.446,6056936.204,5.87,NA,NA,"topo",NA
"54",1841867.634,6056947.041,6.467,NA,NA,"topo",NA
"55",1841864.934,6056952.067,8.107,NA,NA,"topo",NA
"56",1841873.069,6056962.646,6.189,NA,NA,"topo",NA
"57",1841870.88,6056970.138,8.17,NA,NA,"topo",NA
"58",1841879.458,6056974.959,5.757,NA,NA,"topo",NA
"59",1841876.558,6056983.902,8.221,NA,NA,"topo",NA
"60",1841888.01,6056990.173,5.608,NA,NA,"topo",NA
"61",1841885.988,6057000.067,8.067,NA,NA,"topo",NA
"62",1841898.352,6057005.225,5.704,NA,NA,"topo",NA
"63",1841896.794,6057016.037,7.774,NA,NA,"topo",NA
"64",1841902.152,6057020.193,7.293,NA,NA,"topo",NA
"65",1841900.391,6057026.95,7.742,NA,NA,"topo",NA
"79",1841952.027,6056875.556,10.089,NA,NA,"beach",NA
"80",1841932.842,6056872.95,10.436,NA,NA,"beach",NA
"81",1841916.844,6056880.219,10.588,NA,NA,"beach",NA
"82",1841893.174,6056873.6,11.009,NA,NA,"beach",NA
"83",1841873.069,6056898.481,10.144,NA,NA,"beach",NA
"84",1841860.754,6056895.722,11.238,NA,NA,"beach",NA
"85",1841844.645,6056894.523,15.5,NA,NA,"beach",NA
"86",1841842.906,6056903.502,15.193,NA,NA,"beach",NA
"87",1841843.207,6056924.885,15.082,NA,NA,"beach",NA
"88",1841847.143,6056941.232,14.444,NA,NA,"beach",NA
"89",1841853.103,6056958.406,14.051,NA,NA,"beach",NA
"90",1841858.423,6056973.121,13.464,NA,NA,"beach",NA
"91",1841864.524,6056986.719,12.361,NA,NA,"beach",NA
"92",1841872.639,6056998.004,10.525,NA,NA,"beach",NA
"93",1841878.285,6057006.531,9.805,NA,NA,"beach",NA
"94",1841882.004,6057013.566,9.9,NA,NA,"beach",NA
"95",1841931.532,6057056.772,5.69,NA,NA,"topo",NA
"96",1841933.709,6057062.54,6.723,NA,NA,"topo",NA
"98",1841935.117,6057071.635,6.44,NA,NA,"topo",NA
"99",1841940.436,6057073.803,5.839,NA,NA,"topo",NA
"100",1841938.142,6057080.441,6.353,NA,NA,"topo",NA
"103",1841938.825,6057087.793,6.73,NA,NA,"topo",NA
"104",1841942.066,6057084.671,6.006,NA,NA,"topo",NA
"105",1841938.865,6057090.395,6.785,NA,NA,"topo",NA
"106",1841940.891,6057097.614,6.439,NA,NA,"topo",NA
"108",1841946.926,6057102.746,6.414,NA,NA,"topo",NA
"109",1841947.432,6057109.288,6.411,NA,NA,"topo",NA
"110",1841955.797,6057110.933,6.643,NA,NA,"topo",NA
"111",1841961.304,6057111.575,6.485,NA,NA,"topo",NA
"114",1841961.777,6057118.055,6.746,NA,NA,"topo",NA
"115",1841967.978,6057118.553,6.41,NA,NA,"topo",NA
"116",1841968.056,6057125.141,6.813,NA,NA,"topo",NA
"117",1841976.685,6057125.733,6.68,NA,NA,"topo",NA
"118",1841982.34,6057127.99,6.408,NA,NA,"topo",NA
"119",1841976.146,6057132.424,6.879,NA,NA,"topo",NA
"121",1841967.66,6057139.484,9.911,NA,NA,"topo",NA
"122",1841955.964,6057129.969,10.701,NA,NA,"topo",NA
"123",1841930.542,6057126.607,12.897,NA,NA,"topo",NA
"124",1841960.444,6057153.672,13.507,NA,NA,"levee",NA
"125",1841967.921,6057162.416,13.288,NA,NA,"levee",NA
"126",1841979.542,6057168.556,14.199,NA,NA,"levee",NA
"127",1841989.722,6057175.5,14.724,NA,NA,"levee",NA
"128",1841999.745,6057183.409,14.478,NA,NA,"levee",NA
"129",1842007.573,6057190.517,15.197,NA,NA,"levee",NA
"130",1842016.778,6057199.674,14.991,NA,NA,"levee",NA
"131",1842031.908,6057187.721,10.787,NA,NA,"topo",NA
"132",1842021.08,6057180.967,10.504,NA,NA,"topo",NA
"133",1842011.918,6057175.17,10.271,NA,NA,"topo",NA
"135",1842003.642,6057166.892,10.179,NA,NA,"topo",NA
"136",1841986.372,6057154.215,9.843,NA,NA,"topo",NA
"137",1841979.189,6057148.549,9.705,NA,NA,"topo",NA
"139",1841982.651,6057144.145,7.178,NA,NA,"topo",NA
"141",1841992.473,6057151.885,7.44,NA,NA,"topo",NA
"143",1842004.701,6057160.043,7.224,NA,NA,"topo",NA
"144",1842010.169,6057167.079,7.461,NA,NA,"topo",NA
"145",1842026.658,6057179.857,7.593,NA,NA,"topo",NA
"147",1842042.708,6057194.694,9.187,NA,NA,"topo",NA
"149",1842058.444,6057195.16,8.807,NA,NA,"topo",NA
"150",1842042.413,6057218.437,14.546,NA,NA,"levee",NA
"151",1842053.889,6057232.998,14.234,NA,NA,"levee",NA
"152",1842068.306,6057248.841,13.933,NA,NA,"levee",NA
"153",1842084.374,6057265.155,14.163,NA,NA,"levee",NA
"154",1842097.645,6057247.819,10.421,NA,NA,"topo",NA
"155",1842081.097,6057233.148,10.337,NA,NA,"topo",NA
"156",1842067.315,6057219.211,10.236,NA,NA,"topo",NA
"157",1842061.348,6057212.607,9.992,NA,NA,"topo",NA
"158",1842072.784,6057213.397,9.615,NA,NA,"topo",NA
"159",1842083.203,6057221.432,9.318,NA,NA,"topo",NA
"162",1842098.007,6057227.192,7.425,NA,NA,"topo",NA
"163",1842099.564,6057218.776,6.888,NA,NA,"topo",NA
"164",1842101.097,6057206.858,6.838,NA,NA,"topo",NA
"165",1842091.63,6057197.756,6.728,NA,NA,"topo",NA
"166",1842087.498,6057188.07,6.301,NA,NA,"topo",NA
"167",1842078.266,6057180.649,6.178,NA,NA,"topo",NA
"168",1842068.087,6057176.213,6.12,NA,NA,"topo",NA
"169",1842114.989,6057208.538,6.177,NA,NA,"topo",NA
"170",1842105.869,6057223.805,6.988,NA,NA,"topo",NA
"171",1842089.238,6057244.088,10.852,NA,NA,"topo",NA
"172",1842102.215,6057246.699,10.619,NA,NA,"topo",NA
"174",1842107.217,6057268.48,11.008,NA,NA,"topo",NA
"175",1842122.499,6057270.105,9.967,NA,NA,"topo",NA
"176",1842127.331,6057286.707,10.516,NA,NA,"topo",NA
"178",1842122.931,6057312.469,14.858,NA,NA,"levee",NA
"179",1842136.59,6057293.574,10.542,NA,NA,"topo",NA
"180",1842145.983,6057284.37,9.288,NA,NA,"topo",NA
"181",1842152.143,6057277.814,7.799,NA,NA,"topo",NA
"183",1842150.701,6057269.794,7.188,NA,NA,"topo",NA
"184",1842158.552,6057267.532,6.377,NA,NA,"topo",NA
"185",1842154.469,6057253.817,6.558,NA,NA,"topo",NA
"186",1842164.101,6057244.35,6.379,NA,NA,"topo",NA
"187",1842173.73,6057251.973,6.135,NA,NA,"topo",NA
"188",1842178.198,6057255.436,6.092,NA,NA,"topo",NA
"189",1842177.233,6057269.966,6.475,NA,NA,"topo",NA
"190",1842186.377,6057276.935,6.249,NA,NA,"topo",NA
"191",1842196.946,6057281.561,6.138,NA,NA,"topo",NA
"192",1842204.21,6057288.196,6.095,NA,NA,"topo",NA
"193",1842188.184,6057301.892,6.228,NA,NA,"topo",NA
"194",1842179.493,6057293.429,6.498,NA,NA,"topo",NA
"195",1842154,6057297.219,9.504,NA,NA,"topo",NA
"196",1842152.395,6057306.629,10.446,NA,NA,"topo",NA
"197",1842167.935,6057310.888,9.302,NA,NA,"topo",NA
"198",1842168.465,6057332.005,10.585,NA,NA,"topo",NA
"199",1842185.075,6057328.164,9.209,NA,NA,"topo",NA
"200",1842164.283,6057359.617,15.316,NA,NA,"levee",NA
"201",1842194.546,6057348.569,9.68,NA,NA,"topo",NA
"202",1842198.75,6057368.392,10.931,NA,NA,"topo",NA
"203",1842221.369,6057378.126,9.772,NA,NA,"topo",NA
"204",1842226.703,6057396.778,10.961,NA,NA,"topo",NA
"205",1842233.839,6057398.852,10.358,NA,NA,"topo",NA
"206",1842208.236,6057365.655,9.042,NA,NA,"topo",NA
"208",1842217.785,6057357.515,7.897,NA,NA,"topo",NA
"209",1842211.17,6057404.622,16.595,NA,NA,"levee",NA
"210",1842221.252,6057437.032,15.405,NA,NA,"levee",NA
"211",1842227.936,6057451.182,14.166,NA,NA,"levee",NA
"212",1842246.228,6057487.641,11.64,NA,NA,"topo",NA
"213",1842258.18,6057512.359,10.366,NA,NA,"topo",NA
"215",1842192.078,6057260.267,5.774,NA,NA,"topo",NA
"216",1842202.475,6057287.228,6.07,NA,NA,"topo",NA
"217",1842217.653,6057292.417,5.733,NA,NA,"topo",NA
"218",1842218.872,6057310.956,5.943,NA,NA,"topo",NA
"219",1842223.715,6057323.869,5.891,NA,NA,"topo",NA
"220",1842235.671,6057326.579,5.354,NA,NA,"topo",NA
"221",1842230.541,6057339.943,5.707,NA,NA,"topo",NA
"222",1842238.585,6057345.348,5.3,NA,NA,"topo",NA
"223",1842231.124,6057351.648,5.702,NA,NA,"topo",NA
"224",1842208.499,6057331.012,5.855,NA,NA,"topo",NA
"225",1842190.036,6057305.33,6.205,NA,NA,"topo",NA
"226",1842153.166,6057238.58,6.334,NA,NA,"topo",NA
"227",1842138.352,6057232.425,6.391,NA,NA,"topo",NA
"228",1842136.829,6057216.189,5.457,NA,NA,"topo",NA
"229",1842124.044,6057210.794,5.787,NA,NA,"topo",NA
"230",1842117.874,6057204.618,5.363,NA,NA,"topo",NA
"231",1842108.149,6057195.463,5.12,NA,NA,"topo",NA
"232",1842094.541,6057186.529,5.475,NA,NA,"topo",NA
"233",1842086.864,6057179.488,4.983,NA,NA,"topo",NA
"234",1842070.256,6057177.996,5.808,NA,NA,"topo",NA
"235",1842063.79,6057175.221,5.764,NA,NA,"topo",NA
"236",1842055.785,6057170.103,5.824,NA,NA,"topo",NA
"237",1842047.718,6057165.317,5.975,NA,NA,"topo",NA
"238",1842041.599,6057160.511,5.748,NA,NA,"topo",NA
"239",1842032.758,6057158.995,6.253,NA,NA,"topo",NA
"240",1842020.871,6057168.32,7.136,NA,NA,"topo",NA
"241",1841903.872,6057074.311,25.865,NA,NA,"cb01b",NA
"242",1841905.827,6057064.044,27.4,NA,NA,"bridge",NA
"243",1841914.991,6057063.34,17.396,NA,NA,"rocks",NA
"244",1841921.221,6057063.606,15.495,NA,NA,"rocks",NA
"245",1841919.43,6057058.017,14.282,NA,NA,"rocks",NA
"246",1841926.561,6057067.696,13.149,NA,NA,"rocks",NA
"247",1841926.369,6057076.359,14.919,NA,NA,"rocks",NA
"248",1842157.702,6056912.639,12.39,NA,NA,"cpx",NA
"249",1842146.017,6057144.525,9.369,NA,NA,"topo",NA
"250",1842154.06,6057142.282,9.546,NA,NA,"topo",NA
"251",1842142.508,6057149.682,9.252,NA,NA,"topo",NA
"253",1842162.012,6057151.253,9.818,NA,NA,"topo",NA
"254",1842160.898,6057171.326,9.711,NA,NA,"topo",NA
"256",1842178.977,6057170.644,10.317,NA,NA,"topo",NA
"257",1842184.472,6057188.447,10.188,NA,NA,"topo",NA
"258",1842202.981,6057199.293,10.874,NA,NA,"topo",NA
"260",1842207.68,6057209.609,10.396,NA,NA,"topo",NA
"261",1842222.18,6057221.201,10.713,NA,NA,"topo",NA
"266",1842241.789,6057246.884,11.047,NA,NA,"topo",NA
"267",1842241.352,6057256.763,10.13,NA,NA,"topo",NA
"269",1842254.993,6057268.968,10.765,NA,NA,"topo",NA
"270",1842259.815,6057278.221,10.541,NA,NA,"topo",NA
"272",1842271.195,6057286.737,10.51,NA,NA,"topo",NA
"273",1842274.677,6057298.643,10.013,NA,NA,"topo",NA
"275",1842275.141,6057308.354,6.319,NA,NA,"topo",NA
"276",1842254.168,6057244.719,15.288,NA,NA,"levee",NA
"277",1842237.207,6057222.554,14.844,NA,NA,"levee",NA
"278",1842223.638,6057207.234,13.953,NA,NA,"levee",NA
"279",1842210.601,6057192.534,13.476,NA,NA,"levee",NA
"280",1842290.393,6057286.411,15.501,NA,NA,"levee",NA
"281",1842298.576,6057298.178,15.546,NA,NA,"levee",NA
"282",1842306.181,6057308.988,15.531,NA,NA,"levee",NA
"283",1842321.211,6057322.113,15.83,NA,NA,"levee",NA
"284",1842286.347,6057309.943,10.434,NA,NA,"topo",NA
"285",1842292.957,6057317.405,9.943,NA,NA,"topo",NA
"286",1842304.245,6057321.207,12.943,NA,NA,"topo",NA
"287",1842317.389,6057334.923,12.839,NA,NA,"topo",NA
"289",1842326.371,6057346.444,11.446,NA,NA,"topo",NA
"290",1842328.286,6057359.323,9.017,NA,NA,"topo",NA
"292",1842328.639,6057369.368,9.23,NA,NA,"topo",NA
"293",1842334.977,6057381.097,9.292,NA,NA,"topo",NA
"295",1842333.209,6057393.509,9.279,NA,NA,"topo",NA
"296",1842341.944,6057407.145,9.438,NA,NA,"topo",NA
"298",1842339.725,6057425.267,9.271,NA,NA,"topo",NA
"299",1842336.491,6057436.18,9.312,NA,NA,"topo",NA
"300",1842337.8,6057453.789,9.761,NA,NA,"topo",NA
"301",1842328.414,6057465.763,9.443,NA,NA,"topo",NA
"303",1842307.251,6057476.638,7.862,NA,NA,"topo",NA
"304",1842291.327,6057448.651,5.859,NA,NA,"topo",NA
"305",1842291.828,6057462.24,5.935,NA,NA,"topo",NA
"306",1842293.317,6057478.286,5.795,NA,NA,"topo",NA
"307",1842294.271,6057493.189,5.53,NA,NA,"topo",NA
"308",1842306.189,6057498.628,5.779,NA,NA,"topo",NA
"309",1842298.188,6057517.226,5.27,NA,NA,"topo",NA
"310",1842323.065,6057521.785,5.537,NA,NA,"topo",NA
"311",1842331.452,6057535.411,5.653,NA,NA,"topo",NA
"312",1842322.069,6057548.76,5.906,NA,NA,"topo",NA
"313",1842333.196,6057565.796,6.056,NA,NA,"topo",NA
"314",1842353.135,6057560.714,5.583,NA,NA,"topo",NA
"315",1842355.391,6057553.386,5.639,NA,NA,"topo",NA
"316",1842361.638,6057559.865,5.348,NA,NA,"topo",NA
"317",1842374.37,6057568.587,5.513,NA,NA,"topo",NA
"318",1842390.003,6057582.392,5.419,NA,NA,"topo",NA
"319",1842391.41,6057607.304,5.897,NA,NA,"topo",NA
"320",1842422.475,6057609.013,5.389,NA,NA,"topo",NA
"321",1842443.617,6057626.716,5.735,NA,NA,"topo",NA
"322",1842445.792,6057644.774,5.775,NA,NA,"topo",NA
"323",1842461.619,6057635.734,5.308,NA,NA,"topo",NA
"324",1842482.864,6057646.755,6.078,NA,NA,"topo",NA
"325",1842492.085,6057658.919,5.578,NA,NA,"topo",NA
"326",1842509.51,6057666.155,5.703,NA,NA,"topo",NA
"327",1842529.333,6057673.653,5.558,NA,NA,"topo",NA
"329",1842559.609,6057695.77,5.684,NA,NA,"topo",NA
"330",1842574.324,6057696.022,5.577,NA,NA,"topo",NA
"332",1842590.13,6057698.835,6.639,NA,NA,"topo",NA
"333",1842590.424,6057703.087,5.064,NA,NA,"topo",NA
"354",1843115.817,6057814.125,6.348,NA,NA,"topo",NA
"355",1843098.892,6057827.069,6.767,NA,NA,"topo",NA
"358",1843043.506,6057809.988,7.073,NA,NA,"topo",NA
"362",1841904.076,6057074.003,25.85,NA,NA,"cp01c",NA
"363",1841832.49,6057136.537,26.865,NA,NA,"hwymark",NA
"8",1842092.95,6057084.661,NA,9.124,NA,"wse",NA
"15",1842044.508,6057011.683,NA,9.128,NA,"wse",NA
"19",1842026.325,6056996.589,NA,9.059,NA,"wse",NA
"23",1842013.242,6056978.302,NA,9.252,NA,"wse",NA
"27",1841985.444,6056931.281,NA,9.123,NA,"wse",NA
"34",1841992.653,6056903.804,NA,9.133,NA,"wse",NA
"66",1841896.922,6057024.201,NA,9.183,NA,"wse",NA
"67",1841886.186,6057010.833,NA,9.11,NA,"wse",NA
"68",1841877.687,6056992.859,NA,9.117,NA,"wse",NA
"69",1841870.412,6056976,NA,9.174,NA,"wse",NA
"70",1841865.18,6056961.927,NA,9.147,NA,"wse",NA
"71",1841860.717,6056944.492,NA,9.166,NA,"wse",NA
"72",1841858.874,6056926.474,NA,9.15,NA,"wse",NA
"73",1841870.566,6056911.205,NA,9.114,NA,"wse",NA
"74",1841892.251,6056909.446,NA,9.07,NA,"wse",NA
"75",1841913.488,6056910.356,NA,9.101,NA,"wse",NA
"76",1841932.428,6056900.176,NA,9.132,NA,"wse",NA
"77",1841950.597,6056892.146,NA,9.07,NA,"wse",NA
"78",1841960.36,6056883.917,NA,9.108,NA,"wse",NA
"97",1841929.883,6057070.523,NA,9.164,NA,"wse",NA
"101",1841933.208,6057081.355,NA,9.104,NA,"wse",NA
"102",1841935.651,6057089.611,NA,9.15,NA,"wse",NA
"107",1841941.232,6057103.257,NA,9.038,NA,"wse",NA
"112",1841957.231,6057121.216,NA,9.139,NA,"wse",NA
"113",1841966.929,6057131.07,NA,9.101,NA,"wse",NA
"120",1841971.497,6057138.211,NA,9.129,NA,"wse",NA
"134",1842030.543,6057186.113,NA,9.181,NA,"wse",NA
"138",1841979.786,6057146.517,NA,9.169,NA,"wse",NA
"140",1841988.993,6057151.984,NA,9.127,NA,"wse",NA
"142",1842001.593,6057162.53,NA,9.132,NA,"wse",NA
"146",1842030.781,6057186.402,NA,9.111,NA,"wse",NA
"148",1842051.229,6057196.319,NA,9.168,NA,"wse",NA
"160",1842081.073,6057216.858,NA,9.076,NA,"wse",NA
"161",1842091.472,6057229.571,NA,9.129,NA,"wse",NA
"173",1842110.449,6057248.062,NA,9.177,NA,"wse",NA
"177",1842136.88,6057276.361,NA,9.162,NA,"wse",NA
"182",1842148.413,6057278.162,NA,9.151,NA,"wse",NA
"207",1842212.867,6057360.306,NA,9.152,NA,"wse",NA
"214",1842262.379,6057505.404,NA,9.134,NA,"wse",NA
"252",1842138.758,6057154.015,NA,9.095,NA,"wse",NA
"255",1842165.66,6057182.35,NA,9.137,NA,"wse",NA
"259",1842198.221,6057208.501,NA,9.161,NA,"wse",NA
"262",1842215.488,6057228.203,NA,9.162,NA,"wse",NA
"263",1842224.451,6057229.959,NA,10.33,NA,"wse",NA
"264",1842228.635,6057245.036,NA,10.395,NA,"wse",NA
"265",1842231.665,6057248.317,NA,9.164,NA,"wse",NA
"268",1842243.232,6057262.865,NA,9.121,NA,"wse",NA
"271",1842260.98,6057283.524,NA,9.123,NA,"wse",NA
"274",1842276.229,6057303.052,NA,9.156,NA,"wse",NA
"288",1842314.326,6057345.021,NA,9.176,NA,"wse",NA
"291",1842324.977,6057361.571,NA,9.137,NA,"wse",NA
"294",1842328.111,6057388.525,NA,9.127,NA,"wse",NA
"297",1842334.105,6057415.901,NA,9.103,NA,"wse",NA
"302",1842315.5,6057470.892,NA,9.158,NA,"wse",NA
"328",1842558.047,6057679.304,NA,9.167,NA,"wse",NA
"331",1842583.507,6057690.323,NA,9.173,NA,"wse",NA
"334",1842228.868,6057420.763,NA,9.271,NA,"wse",NA
"335",1842231.334,6057431.277,NA,9.307,NA,"wse",NA
"336",1842242.761,6057451.306,NA,9.115,NA,"wse",NA
"338",1842245.978,6057459.057,NA,9.122,NA,"wse",NA
"339",1842250.259,6057475.214,NA,9.144,NA,"wse",NA
"340",1842262.632,6057502.597,NA,9.142,NA,"wse",NA
"341",1842276.755,6057522.476,NA,9.134,NA,"wse",NA
"342",1842291.224,6057548.246,NA,9.192,NA,"wse",NA
"343",1842300.415,6057567.801,NA,9.206,NA,"wse",NA
"344",1842329.058,6057603.415,NA,9.162,NA,"wse",NA
"346",1842414.487,6057681.74,NA,9.148,NA,"wse",NA
"347",1842469.1,6057705.176,NA,9.152,NA,"wse",NA
"348",1842526.675,6057732.418,NA,9.163,NA,"wse",NA
"349",1842605.167,6057762.795,NA,9.3,NA,"wse",NA
"350",1842682.12,6057788.079,NA,9.249,NA,"wse",NA
"351",1842864.466,6057838.671,NA,9.217,NA,"wse",NA
"352",1843123.095,6057848.807,NA,9.273,NA,"wse",NA
"353",1843120.546,6057808.796,NA,9.275,NA,"wse",NA
"356",1843102.044,6057807.244,NA,9.188,NA,"wse",NA
"357",1843060.932,6057796.134,NA,9.297,NA,"wse",NA
"359",1842994.019,6057789.874,NA,9.206,NA,"wse",NA
"360",1842944.957,6057784.377,NA,9.327,NA,"wse",NA
"361",1842706.358,6057739.663,NA,9.268,NA,"wse",NA
"1000",1841945.957,6057106.078,10.902,7.83,2.422,"echo",0.03166
"1001",1841945.947,6057106.086,10.928,7.824,2.454,"echo",0.03165
"1002",1841945.967,6057106.086,10.903,7.799,2.454,"echo",0.03164
"1003",1841946.002,6057106.079,10.996,7.826,2.52,"echo",0.03164
"1004",1841946.033,6057106.064,11.001,7.831,2.52,"echo",0.03163
"1005",1841946.058,6057106.056,10.996,7.826,2.52,"echo",0.03161
"1006",1841948.768,6057106.707,10.859,7.787,2.422,"echo",0.03103
"1007",1841948.766,6057106.448,10.426,7.814,1.962,"echo",0.03103
"1008",1841948.929,6057105.888,10.413,7.801,1.962,"echo",0.03102
"1009",1841949.44,6057105.236,11.137,7.836,2.651,"echo",0.03102
"1010",1841950.109,6057104.606,11.049,7.846,2.553,"echo",0.03102
"1011",1841950.715,6057103.927,11.191,7.89,2.651,"echo",0.03121
"1012",1841950.786,6057103.262,11.131,7.862,2.619,"echo",0.03101
"1013",1841950.217,6057102.576,11.094,7.793,2.651,"echo",0.031
"1015",1841949.933,6057100.756,11.226,7.859,2.717,"echo",0.03106
"1016",1841949.786,6057099.693,11.18,7.813,2.717,"echo",0.03099
"1017",1841949.944,6057098.047,11.272,7.807,2.815,"echo",0.03098
"1018",1841950.143,6057096.603,11.289,7.824,2.815,"echo",0.03127
"1019",1841949.645,6057095.158,11.282,7.817,2.815,"echo",0.03098
"1020",1841949.243,6057093.791,11.537,7.875,3.012,"echo",0.03098
"1021",1841949.394,6057091.785,11.42,7.823,2.947,"echo",0.03104
"1022",1841949.634,6057090.176,11.544,7.849,3.045,"echo",0.03097
"1023",1841950.019,6057088.67,11.626,7.833,3.143,"echo",0.03097
"1024",1841950.679,6057087.22,11.86,7.87,3.34,"echo",0.03097
"1025",1841950.74,6057085.474,11.858,7.802,3.406,"echo",0.03097
"1026",1841951.007,6057083.882,12.064,7.811,3.603,"echo",0.03097
"1027",1841951.708,6057082.363,12.368,7.82,3.898,"echo",0.03124
"1028",1841951.886,6057080.609,12.463,7.817,3.996,"echo",0.03097
"1029",1841952.109,6057078.774,12.78,7.805,4.325,"echo",0.03097
"1030",1841953.235,6057076.581,12.895,7.822,4.423,"echo",0.03116
"1031",1841954.098,6057074.66,13.033,7.862,4.521,"echo",0.03097
"1032",1841954.245,6057072.513,13.119,7.784,4.685,"echo",0.03096
"1033",1841955.139,6057070.398,13.251,7.784,4.817,"echo",0.03101
"1034",1841956.391,6057068.302,13.7,7.84,5.21,"echo",0.03097
"1035",1841957.054,6057066.104,13.709,7.849,5.21,"echo",0.03076
"1036",1841957.462,6057064.042,13.568,7.839,5.079,"echo",0.03014
"1037",1841958.657,6057061.71,13.597,7.835,5.112,"echo",0.03041
"1038",1841959.701,6057059.689,13.664,7.836,5.178,"echo",0.03145
"1039",1841960.151,6057057.475,13.526,7.797,5.079,"echo",0.03289
"1041",1841962.264,6057053.282,13.092,7.855,4.587,"echo",0.03266
"1042",1841963.184,6057051.198,12.923,7.85,4.423,"echo",0.0327
"1043",1841963.749,6057049.176,12.882,7.842,4.39,"echo",0.03078
"1044",1841965.046,6057046.963,12.905,7.832,4.423,"echo",0.03119
"1045",1841966.444,6057045.065,12.773,7.93,4.193,"echo",0.03167
"1048",1841968.885,6057038.6,12.251,7.801,3.8,"echo",0.03192
"1049",1841970.024,6057036.651,12.24,7.856,3.734,"echo",0.0322
"1050",1841970.524,6057034.625,12.137,7.851,3.636,"echo",0.03207
"1051",1841971.129,6057032.768,12.018,7.831,3.537,"echo",0.03214
"1053",1841973.393,6057028.678,11.904,7.848,3.406,"echo",0.03293
"1054",1841973.656,6057026.694,11.855,7.865,3.34,"echo",0.03255
"1055",1841974.13,6057024.835,11.866,7.909,3.307,"echo",0.03136
"1056",1841974.851,6057022.492,11.537,7.776,3.111,"echo",0.03182
"1057",1841975.554,6057020.555,11.679,7.82,3.209,"echo",0.0328
"1058",1841975.498,6057018.66,11.53,7.835,3.045,"echo",0.03193
"1059",1841975.746,6057016.737,11.627,7.866,3.111,"echo",0.03293
"1060",1841976.253,6057014.495,11.688,7.993,3.045,"echo",0.03359
"1061",1841976.135,6057012.494,11.749,7.956,3.143,"echo",0.03429
"1062",1841975.64,6057010.853,11.842,8.081,3.111,"echo",0.03828
"1064",1841975.324,6057006.298,12.014,8.057,3.307,"echo",0.04457
"1065",1841974.497,6057004.497,11.555,7.958,2.947,"echo",0.05764
"1066",1841973.986,6057002.599,11.924,8.032,3.242,"echo",0.04579
"1075",1841956.649,6056955.624,11.575,7.814,3.111,"echo",0.06611
"1076",1841956.196,6056953.823,12.04,7.754,3.636,"echo",0.06251
"1077",1841956.454,6056951.769,12.248,7.766,3.832,"echo",0.06448
"1078",1841956.108,6056949.886,12.122,7.771,3.701,"echo",0.06584
"1079",1841955.309,6056948.179,12.045,7.759,3.636,"echo",0.06434
