Point,North,East,Elevation,Code
299,1842329.934,6057439.489,11.66,topo
300,1842331.243,6057457.098,12.109,topo
301,1842321.857,6057469.072,11.791,topo
302,1842308.943,6057474.201,11.506,wse
303,1842300.694,6057479.947,10.21,topo
304,1842284.77,6057451.96,8.207,topo
305,1842285.271,6057465.549,8.283,topo
306,1842286.76,6057481.595,8.143,topo
307,1842287.714,6057496.498,7.878,topo
308,1842299.632,6057501.937,8.127,topo
309,1842291.631,6057520.535,7.618,topo
310,1842316.508,6057525.094,7.885,topo
311,1842324.895,6057538.72,8.001,topo
312,1842315.512,6057552.069,8.254,topo
313,1842326.639,6057569.105,8.404,topo
314,1842346.578,6057564.023,7.931,topo
315,1842348.834,6057556.695,7.987,topo
316,1842355.081,6057563.174,7.696,topo
317,1842367.813,6057571.896,7.861,topo
318,1842383.446,6057585.701,7.767,topo
319,1842384.853,6057610.613,8.245,topo
320,1842415.918,6057612.322,7.737,topo
321,1842437.06,6057630.025,8.083,topo
322,1842439.235,6057648.083,8.123,topo
323,1842455.062,6057639.043,7.656,topo
324,1842476.307,6057650.064,8.426,topo
325,1842485.528,6057662.228,7.926,topo
326,1842502.953,6057669.464,8.051,topo
327,1842522.776,6057676.962,7.906,topo
328,1842551.49,6057682.613,11.515,wse
329,1842553.052,6057699.079,8.032,topo
330,1842567.767,6057699.331,7.925,topo
331,1842576.95,6057693.632,11.521,wse
332,1842583.573,6057702.144,8.987,topo
333,1842583.867,6057706.396,7.412,topo
334,1842222.311,6057424.072,11.619,wse
335,1842224.777,6057434.586,11.655,wse
336,1842236.204,6057454.615,11.463,wse
337,1842241.03,6057468.404,11.523,wse
338,1842239.421,6057462.366,11.47,wse
339,1842243.702,6057478.523,11.492,wse
340,1842256.075,6057505.906,11.49,wse
341,1842270.198,6057525.785,11.482,wse
342,1842284.667,6057551.555,11.54,wse
343,1842293.858,6057571.11,11.554,wse
344,1842322.501,6057606.724,11.51,wse
345,1842390.982,6057674.78,11.499,6
346,1842407.93,6057685.049,11.496,wse
347,1842462.543,6057708.485,11.5,wse
348,1842520.118,6057735.727,11.511,wse
349,1842598.61,6057766.104,11.648,wse
350,1842675.563,6057791.388,11.597,wse
